der,Abend,die,Abende,evening
die,Abteilung,die,Abteilungen,department
die,Adresse,die,Adressen,address
das,Alter,,-,age
der,Anfang,die,Anfänge,start
das,Angebot,die,Angebote,offer
der/die,Angestellte,die,Angestellten,employee
die,Anmeldung,die,Anmeldungen,registration
die,Antwort,die,Antworten,reply
die,Anzeige,die,Anzeigen,announcement
der,Apfelsaft,die,Apfelsäfte,apple juice
der,Appetit,die,Appetite,appetite
der,Arzt,die,Ärzte,doctor
die,Ärztin,die,Ärztinnen,doctor (female)
die,Auskunft,die,Auskünfte,information
der,Ausweis,die,Ausweise,badge
das,Auto,die,Autos,car
die,Banane,die,Bananen,banana
das,Beispiel,die,Beispiele,example
der,Beruf,die,Berufe,profession
der,Besuch,die,Besuche,visit
das,Bett,die,Betten,bed
das,Bier,die,Biere,bier
das,Bild,die,Bilder,image
das,Bonbon,die,Bonbons,candy
das,Brot,die,Brote,bread
der,Bruder,die,Brüder,brother
das,Buch,die,Bücher,book
der,Buchstabe,die,Buchstaben,letter
das,Büro,die,Büros,office
die,Butter,,-,butter
die,Chance,die,Chancen,chance; opportunity
der,Computer,die,Computer,computer
die,Couch,die,Couches,couch
der,Dank,,-,thanks
die,Dose,die,Dosen,dose
die,Durchsage,die,Durchsagen,announcement
der,Durst,,-,thirst
das,Ei,die,Eier,egg
der,Einwohner,die,Einwohner,population
die,Entschuldigung,die,Entschuldigungen,apology
der,Fahrer,die,Fahrer,driver
das,Fahrrad,die,Fahrräder,bicycle
die,Familie,die,Familien,family
der,Familienname,die,Familiennamen,last name
der,Familienstand,,-,civil status
die,Farbe,die,Farben,colour
der,Fehler,die,Fehler,mistake
der,Fernseher,die,Fernseher,TV set
die,Firma,die,Firmen,company
der,Fisch,die,Fische,fish
die,Flasche,die,Flaschen,bottle
das,Fleisch,,-,meat
der,Flug,die,Flüge,flight
der,Flughafen,die,Flughäfen,airport
das,Formular,die,Formulare,form
das,Foto,die,Fotos,photo
der,Fotoapparat,die,Fotoapparate,camera
die,Frage,die,Fragen,question
die,Frau,die,Frauen,woman
der,Freund,die,Freunde,friend
der,Friseur,die,Friseure,barber
der,Führerschein,die,Führerscheine,driving licence
der,Gang,die,Gange,corridor
das,Geburtsjahr,die,Geburtsjahre,year of birth
der,Geburtsort,die,Geburtsorte,city of birth
der,Geburtstag,die,Geburtstage,birthday
das,Gemüse,,-,vegetable
das,Geschenk,die,Geschenke,gift
die,Geschichte,die,Geschichten,story
das,Geschoss,die,Geschosse,floor
das,Gespräch,die,Gespräche,conversation
das,Gewürz,die,Gewürze,spice; condiment
die,Gitarre,die,Gitarren,guitar
das,Glas,die,Gläser,glass
das,Gramm,die,Gramm,gram
die,Größe,die,Größen,size
die,Hälfte,die,Hälften,half
die,Hauptstadt,die,Hauptstädte,capital
das,Haus,die,Häuser,house
der,Haushalt,die,Haushalte,budget
der,Herr,die,Herren,Mister
der,Hunger,,-,hunger
die,Information,die,Informationen,information
der,Ingenieur,die,Ingenieure,engineer
das,Jahr,die,Jahre,year
der,Kaffee,die,Kaffees,coffee
die,Kartoffel,die,Kartoffeln,potato
der,Käse,,-,cheese
die,Kasse,die,Kassen,cash box
der,Kasten,die,Kästen,box
die,Kellnerin,die,Kellnerinnen,waitress
das,Kilo,die,Kilos,kilo
der,Kilometer,die,Kilometer,kilometre
das,Kind,die,Kinder,child
der,Kiosk,die,Kioske,kiosk
die,Kneipe,die,Kneipen,pub; bar
der,Koffer,die,Koffer,suitcase
der,Kollege,die,Kollegen,colleague
die,Kollegin,die,Kolleginnen,colleague (female)
der,Kontakt,die,Kontakte,contact
die,Küche,die,Küchen,kitchen
der,Kuchen,die,Kuchen,cake
der,Kugelschreiber,die,Kugelschreiber,ballpen
der,Kühlschrank,die,Kühlschränke,refrigerator
der,Kunde,die,Kunden,customer
der,Kurs,die,Kurse,course
die,Lampe,die,Lampen,lamp
das,Land,die,Länder,country
die,Lehrerin,die,Lehrerinnen,teacher (female)
das,Lied,die,Lieder,song
der,Liter,die,Liter,liter
der,Mann,die,Männer,man
der,Mantel,die,Mäntel,coat
das,Mehl,,-,flour
das,Messer,die,Messer,knife
die,Methode,die,Methoden,method
das,Milch-Produkt,die,Milch-Produkte,milk product
die,Million,die,Millionen,million
die,Minute,die,Minuten,minute
der,Moment,die,Momente,moment
der,Monat,die,Monate,month
der,Morgen,die,Morgen,morning
die,Mutter,die,Mütter,mother
der,Nachbar,die,Nachbarn,neighbour
der,Nachmittag,die,Nachmittage,afternoon
der,Nachname,die,Nachnamen,last name
der,Name,die,Namen,name
das,Neujahr,die,Neujahre,New Year
die,Notiz,die,Notizen,note
die,Nummer,die,Nummern,number
der,Ober,die,Ober,waiter
das,Obst,,-,fruit
das,Öl,die,Öle,oil
die,Orange,die,Orangen,orange
der,Ort,die,Orte,place; location
das,Paar,die,Paare,pair
die,Packung,die,Packungen,package
das,Paket,die,Pakete,packet
der,Partner,die,Partner,partner
der,Pass,die,Pässe,passport
die,Person,die,Personen,person
der,Pfeffer,,-,pepper
das,Pfund,die,Pfunde,pound
der,Platz,die,Plätze,place
die,Portion,die,Portionen,portion
der,Preis,die,Preise,price
das,Problem,die,Probleme,problem
das,Produkt,die,Produkte,product
das,Projekt,die,Projekte,project
das,Prozent,die,Prozente,percent
das,Putzmittel,die,Putzmittel,cleaning agent
das,Radio,die,Radios,radio
der,Rat,die,Ratschläge,counsel; advice
das,Regal,die,Regale,shelf
der,Reis,,-,rice
die,Religion,die,Religionen,religion
das,Risiko,die,Risiken,risk
der,Saft,die,Säfte,juice
der,Salat,die,Salate,salad
das,Salz,,-,salt
die,Schachtel,die,Schachteln,box; packet
der,Schinken,,-,ham
die,Schokolade,die,Schokoladen,chocolate
der,Schrank,die,Schränke,cupboard
die,Seite,die,Seiten,page
der,Sessel,die,Sessel,armchair
die,Situation,die,Situationen,situation
das,Sofa,die,Sofas,sofa
der,Sohn,die,Söhne,son
die,Speisekarte,die,Speisekarten,menu
die,Sprache,die,Sprachen,language
die,Staatsangehörigkeit,die,Staatsangehörigkeiten,citizenship
die,Stadt,die,Städte,city
der,Staubsauger,die,Staubsauger,hoover
der,Stock,die,Stockwerke,stock
die,Straße,die,Straßen,street
das,Stück,die,Stücke,piece
der,Student,die,Studenten,student
der,Stuhl,die,Stühle,chair
die,Stunde,die,Stunden,lesson
der,Supermarkt,die,Supermärkte,supermarket
die,Suppe,die,Suppen,soup
die,Süßigkeit,die,Süßigkeiten,candy; sweet
der,Tag,die,Tage,day
die,Tasse,die,Tassen,cup
das,Taxi,die,Taxis,taxi
der,Taxifahrer,die,Taxifahrer,taxidriver
der,Tee,die,Tees,tea
der,Teil,die,Teile,piece
das,Telefon,die,Telefone,telephone
die,Telefonnummer,die,Telefonnummern,phone number
der,Teppich,die,Teppiche,carpet
der,Text,die,Texte,text
das,Ticket,die,Tickets,ticket
der,Tipp,die,Tipps,hint; tip
der,Tisch,die,Tische,table
die,Tochter,die,Töchter,daughter
die,Tomate,die,Tomaten,tomato
der,Topf,die,Töpfe,pot
der,Tourist,die,Touristen,tourist
die,Tür,die,Türen,door
die,Tüte,die,Tüten,bag
der,Vater,die,Väter,father
der,Verein,die,Vereine,society; association; club
der,Verkäufer,die,Verkäufer,vendor; salesman
die,Verzeihung,,-,pardon; forgiveness
das,Viertel,die,Viertel,quarter
die,Volkshochschule,die,Volkshochschulen,adult education centre
der,Vorname,die,Vornamen,first name
die,Währung,die,Währungen,currency
die,Waschmaschine,die,Waschmaschinen,washing machine
das,Waschmittel,die,Waschmittel,detergent; washing powder
der,Wein,die,Weine,wine
die,Werbung,die,Werbungen,advertising; promotion
die,Woche,die,Wochen,week
die,Wohnung,die,Wohnungen,apartment
das,Wort,die,Wörter,word
der,Wunsch,die,Wünsche,wish; request
die,Wurst,die,Würste,sausage
das,Würstchen,die,Würstchen,sausage
die,Zahl,die,Zahlen,cipher
die,Zeit,die,Zeiten,time
die,Zeitschrift,die,Zeitschriften,magazine; journal
die,Zeitung,die,Zeitungen,newspaper
das,Zentrum,die,Zentren,centre
der,Zettel,die,Zettel,bill
die,Zigarette,die,Zigaretten,cigarette
das,Zimmer,die,Zimmer,room
der,Zustand,die,Zustände,status; state